threshold,tp,tn,fp,fn,acc,sens,spec,mcc
0.0,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.01,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.02,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.03,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.04,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.05,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.06,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.07,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.08,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.09,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.1,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.11,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.12,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.13,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.14,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.15,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.16,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.17,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.18,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.19,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.2,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.21,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.22,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.23,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.24,17,0,20,0,0.4594594594594595,1.0,0.0,0.0
0.25,17,1,19,0,0.4864864864864865,1.0,0.05,0.1536590742882148
0.26,17,2,18,0,0.5135135135135135,1.0,0.1,0.22038926600773587
0.27,17,3,17,0,0.5405405405405406,1.0,0.15,0.27386127875258304
0.28,17,3,17,0,0.5405405405405406,1.0,0.15,0.27386127875258304
0.29,17,4,16,0,0.5675675675675675,1.0,0.2,0.3209833376209784
0.3,17,5,15,0,0.5945945945945946,1.0,0.25,0.3644344934278313
0.31,17,5,15,0,0.5945945945945946,1.0,0.25,0.3644344934278313
0.32,17,6,14,0,0.6216216216216216,1.0,0.3,0.40560587894193306
0.33,16,8,12,1,0.6486486486486487,0.9411764705882353,0.4,0.39629469648388077
0.34,16,11,9,1,0.7297297297297297,0.9411764705882353,0.55,0.5228972830560998
0.35000000000000003,15,13,7,2,0.7567567567567568,0.8823529411764706,0.65,0.5403586977940116
0.36,15,13,7,2,0.7567567567567568,0.8823529411764706,0.65,0.5403586977940116
0.37,14,15,5,3,0.7837837837837838,0.8235294117647058,0.75,0.5718499662507018
0.38,13,16,4,4,0.7837837837837838,0.7647058823529411,0.8,0.5647058823529412
0.39,12,16,4,5,0.7567567567567568,0.7058823529411765,0.8,0.5088846484559871
0.4,12,17,3,5,0.7837837837837838,0.7058823529411765,0.85,0.5642419551550729
0.41000000000000003,11,19,1,6,0.8108108108108109,0.6470588235294118,0.95,0.6356176554514267
0.42,11,19,1,6,0.8108108108108109,0.6470588235294118,0.95,0.6356176554514267
0.43,10,19,1,7,0.7837837837837838,0.5882352941176471,0.95,0.5868520346490937
0.44,10,20,0,7,0.8108108108108109,0.5882352941176471,1.0,0.6600983619844495
0.45,10,20,0,7,0.8108108108108109,0.5882352941176471,1.0,0.6600983619844495
0.46,9,20,0,8,0.7837837837837838,0.5294117647058824,1.0,0.6149400462680908
0.47000000000000003,9,20,0,8,0.7837837837837838,0.5294117647058824,1.0,0.6149400462680908
0.48,9,20,0,8,0.7837837837837838,0.5294117647058824,1.0,0.6149400462680908
0.49,9,20,0,8,0.7837837837837838,0.5294117647058824,1.0,0.6149400462680908
0.5,7,20,0,10,0.7297297297297297,0.4117647058823529,1.0,0.5239368319955838
0.51,7,20,0,10,0.7297297297297297,0.4117647058823529,1.0,0.5239368319955838
0.52,7,20,0,10,0.7297297297297297,0.4117647058823529,1.0,0.5239368319955838
0.53,7,20,0,10,0.7297297297297297,0.4117647058823529,1.0,0.5239368319955838
0.54,6,20,0,11,0.7027027027027027,0.35294117647058826,1.0,0.4771833869905095
0.55,5,20,0,12,0.6756756756756757,0.29411764705882354,1.0,0.4287464628562721
0.56,5,20,0,12,0.6756756756756757,0.29411764705882354,1.0,0.4287464628562721
0.5700000000000001,4,20,0,13,0.6486486486486487,0.23529411764705882,1.0,0.3776274560246805
0.58,4,20,0,13,0.6486486486486487,0.23529411764705882,1.0,0.3776274560246805
0.59,4,20,0,13,0.6486486486486487,0.23529411764705882,1.0,0.3776274560246805
0.6,4,20,0,13,0.6486486486486487,0.23529411764705882,1.0,0.3776274560246805
0.61,3,20,0,14,0.6216216216216216,0.17647058823529413,1.0,0.32218973970892123
0.62,1,20,0,16,0.5675675675675675,0.058823529411764705,1.0,0.1807753815155468
0.63,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.64,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.65,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.66,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.67,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.68,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.6900000000000001,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.7000000000000001,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.71,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.72,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.73,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.74,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
